n_trees,sample_size,auc,train_time_sec,eval_time_sec,total_time_sec,score_mean,score_std,score_min,score_median,score_max
100,256,0.9045264789281692,0.13724310003453866,117.54904730000999,117.68629040004453,0.46288938369850685,0.04681372597439408,0.39353008213336327,0.4499814166877343,0.7537123382197763
100,512,0.8995643720423232,0.26817160000791773,122.38309990003472,122.65127150004264,0.4613339722695148,0.044348592603957335,0.38935384695398256,0.44931622880994837,0.7556103310460099
100,1024,0.9127473707295937,0.49651660001836717,126.03517759998795,126.53169420000631,0.45371789769724225,0.0450575181225191,0.3877652905885741,0.4418278506797916,0.7681848105464361
100,2048,0.9390332339241256,0.7710562999709509,131.73624519997975,132.5073014999507,0.4496146216093213,0.04299172196218617,0.3895471678980379,0.4371454435504818,0.7594907548081714
100,4096,0.9346213265421432,1.5315798000083305,142.27280289999908,143.8043827000074,0.45045649975075247,0.04093793761338902,0.3886170114353475,0.440068118296468,0.7594312398722866
200,2,0.5,0.0081279999576509,47.85083220002707,47.85896019998472,0.5,0.0,0.5,0.5,0.5
200,4,0.5220054641752739,0.01294029998825863,89.98862870002631,90.00156900001457,0.5187314297665828,0.015073476401198528,0.4814255501222014,0.5173565389626591,0.581436001172301
200,8,0.5787671264358538,0.025829699996393174,110.17665269999998,110.20248239999637,0.5245394013416326,0.026746803909546587,0.463852953188019,0.5202248452365879,0.6337179045327541
200,16,0.7374206761863251,0.035451000032480806,139.14661699999124,139.18206800002372,0.5042467748530034,0.03399705874419033,0.4307873233373556,0.501554933184735,0.6433138111777669
200,32,0.7841256770242375,0.06927149998955429,169.4664973000181,169.53576880000765,0.49663668434830893,0.038839385509273176,0.4277118768229944,0.48916337989348363,0.6741491401568238
200,64,0.8215185749416535,0.11146709998138249,202.4306416999898,202.54210879997117,0.48703637445688713,0.043440550438410545,0.41559500785331777,0.4773288276835543,0.7108869978845791
200,128,0.8906733665384943,0.16309350001392886,204.88723479997134,205.05032829998527,0.4760456917399218,0.04421020275924828,0.40499175343793264,0.46460131035757246,0.7298272620442683
200,256,0.8946129488596705,0.3845089999958873,219.239123700012,219.62363270000787,0.46618151480300113,0.04692233492127436,0.3933868395018009,0.45333085832089137,0.7444697981529018
200,512,0.9088905754971867,0.5833069999935105,243.54870839999057,244.13201539998408,0.46069312914334387,0.043124017156244907,0.3952763186134811,0.44897619181752557,0.7418034887241438
200,1024,0.9110845582677098,0.9753268000204116,257.1240686000092,258.0993954000296,0.4560062982198476,0.04439458188313402,0.38864044044216145,0.44407325451123436,0.7579815305781975
200,2048,0.9340237742584604,1.9737266000011005,287.03777370002354,289.01150030002464,0.4488643436100669,0.042362329464430665,0.38939226262291243,0.4371684056833334,0.7507694798500526
200,4096,0.9303564518036386,2.8082554999855347,292.7806382999988,295.58889379998436,0.44846504892332356,0.041670823040033195,0.38725596935519596,0.43684352499402557,0.7646702425219618
